Temperature,Magnetization,Energy,Specific Heat,Magnetic Susceptibility,Binder Cumulant
4,0.0251709,-0.556934,4.57817e-05,8.90522e-05,0.118829
3.9,0.0248535,-0.575742,5.1075e-05,0.000118213,-0.538437
3.8,0.0271289,-0.598945,5.0645e-05,0.000102606,-0.013152
3.7,0.0315576,-0.620215,5.59394e-05,0.0001459,0.136361
3.6,0.029375,-0.637568,4.65191e-05,0.000127196,0.083326
3.5,0.0298096,-0.655547,5.5388e-05,0.000182016,-0.108053
3.4,0.028667,-0.685225,5.1614e-05,0.000139085,-0.0461013
3.3,0.038833,-0.712656,6.91447e-05,0.000231218,0.0501448
3.2,0.0359424,-0.743359,6.65206e-05,0.000209282,0.103568
3.1,0.0381152,-0.775937,9.59317e-05,0.000209127,0.148462
3,0.0429395,-0.821475,0.000106141,0.00036987,0.00923187
2.9,0.0476758,-0.857686,0.000117573,0.000492271,-0.0291896
2.8,0.0539648,-0.912021,0.00011275,0.000591248,0.0613556
2.7,0.0684717,-0.963232,0.000148549,0.00103964,0.130763
2.6,0.0743945,-1.02444,0.000185423,0.00142918,-0.0474654
2.5,0.104355,-1.10028,0.000197762,0.00333945,-0.338697
2.4,0.155606,-1.20365,0.000290698,0.00515929,0.131515
2.39,0.181608,-1.21711,0.000300391,0.00705012,0.133681
2.38,0.178311,-1.22645,0.000289948,0.00695648,0.146879
2.37,0.200082,-1.24261,0.000316211,0.00833191,0.181412
2.36,0.218154,-1.25425,0.00034272,0.00895186,0.239059
2.35,0.2415,-1.26768,0.000336599,0.0111523,0.250937
2.34,0.255629,-1.28113,0.000369504,0.0116989,0.284985
2.33,0.282507,-1.29839,0.000417709,0.0137684,0.315565
2.32,0.324947,-1.31502,0.000446137,0.0163026,0.370311
2.31,0.373918,-1.33478,0.000470762,0.0160872,0.447144
2.3,0.403619,-1.35052,0.000515727,0.017927,0.465384
2.29,0.503365,-1.38127,0.000524494,0.0154931,0.561913
2.28,0.555838,-1.40246,0.000508698,0.0130867,0.593726
2.27,0.607157,-1.42319,0.000546271,0.00971742,0.616773
2.26,0.650165,-1.44599,0.000491754,0.00775752,0.632225
2.25,0.684408,-1.46489,0.000476071,0.00599521,0.642578
2.24,0.699556,-1.47868,0.000466249,0.00544498,0.644886
2.23,0.728094,-1.49819,0.000398271,0.00290959,0.653809
2.22,0.754962,-1.51548,0.000361058,0.00149012,0.659625
2.21,0.766661,-1.53093,0.000390319,0.00205273,0.658571
2.2,0.781292,-1.54545,0.000351642,0.00124354,0.661319
2.19,0.795228,-1.55906,0.000333879,0.0010131,0.662448
2.18,0.811142,-1.57497,0.00031018,0.000552788,0.664319
2.17,0.819024,-1.58683,0.000273803,0.000547143,0.664415
2.16,0.827412,-1.59851,0.000287926,0.000492742,0.664681
2.15,0.835732,-1.60954,0.000278982,0.000466702,0.664835
2.14,0.841816,-1.6193,0.000274064,0.00039832,0.665118
2.13,0.850146,-1.63136,0.000274067,0.000346642,0.665351
2.12,0.856659,-1.64207,0.000240135,0.000294071,0.665572
2.11,0.862861,-1.65197,0.000242021,0.00024616,0.66576
2.1,0.868392,-1.66196,0.000234989,0.000247131,0.665774
2.1,0.870239,-1.66201,0.000284331,0.000224126,0.665847
2,0.911304,-1.74506,0.000181541,9.5726e-05,0.666362
1.9,0.939229,-1.81114,0.000136483,4.35137e-05,0.666542
1.8,0.957832,-1.86199,0.000117548,2.75944e-05,0.666595
1.7,0.969668,-1.89668,7.86963e-05,1.57448e-05,0.666629
1.6,0.979888,-1.92904,7.01489e-05,1.11928e-05,0.666642
1.5,0.98645,-1.95061,4.46165e-05,5.879e-06,0.666655
1.4,0.991812,-1.96933,3.59583e-05,3.97088e-06,0.666659
1.3,0.994761,-1.98028,2.36748e-05,2.30663e-06,0.666663
1.2,0.996807,-1.98779,1.99013e-05,1.8216e-06,0.666664
1.1,0.998198,-1.99303,1.094e-05,8.4398e-07,0.666665
1,0.999243,-1.99705,5.39742e-06,3.64184e-07,0.666666
0.9,0.999673,-1.99869,3.20764e-06,1.8043e-07,0.666666
0.8,0.999902,-1.99961,1.43051e-06,7.15256e-08,0.666667
0.7,0.999971,-1.99988,4.39079e-07,1.92097e-08,0.666667
0.6,1,-2,0,0,0.666667
0.5,1,-2,0,0,0.666667
0.4,1,-2,0,0,0.666667
0.3,1,-2,0,0,0.666667
0.2,1,-2,0,0,0.666667
